#{"t_start": 1688339040.6460447, "env_id": "None"}
r,l,t
9.946177,13,34.337191
47.390063,71,67.542144
18.252683,26,79.77309
4.077444,6,82.7062
26.336789,43,101.749845
10.643453,15,108.110715
27.286649,42,126.116011
6.635257,8,129.639011
13.247014,15,136.138569
49.679913,67,164.663594
32.210715,49,185.546329
11.046971,17,192.961884
5.284503,7,195.98942
24.112398,30,209.192641
38.0742,50,231.078835
8.395878,12,236.263932
20.810642,27,247.934462
44.630532,67,276.810686
25.185487,37,292.647911
4.478893,6,295.264997
22.658211,35,310.252083
7.636295,9,314.215082
7.771789,10,318.512791
20.001957,26,329.608423
5.031147,7,332.625944
8.660653,11,337.384468
10.653519,16,344.21106
61.19646,80,378.384383
6.088375,9,382.287915
17.864097,23,392.087949
5.374459,7,395.177988
4.983975,6,397.821061
12.645641,18,405.611177
25.967658,31,418.801352
11.22476,15,425.128883
9.201634,12,430.313437
31.900551,38,446.421478
28.301544,43,464.66822
22.869681,34,479.090101
6.326675,9,482.917145
10.768621,12,488.021738
29.815282,48,508.292582
25.462955,38,524.462853
24.686849,28,536.34939
4.182981,5,538.574402
24.445909,35,553.469519
10.334818,14,559.503518
27.769334,34,573.747584
33.356008,43,591.783535
16.806849,21,600.652631
6.45506,8,604.080675
11.908813,13,609.597289
25.616684,30,622.180499
32.324305,43,640.372442
4.754315,7,643.412951
28.925296,44,662.080527
14.097287,17,669.215421
20.847518,24,679.393195
6.122486,8,682.817777
6.61092,9,686.678777
42.871107,56,710.366567
24.486474,38,726.275322
9.941988,15,732.630998
13.444066,22,741.951586
5.072907,8,745.386144
13.586509,20,753.833771
16.004274,22,763.176903
8.211013,11,767.817489
23.550547,34,782.143349
30.835058,37,797.726605
21.877415,27,809.154775
15.049685,19,817.249861
11.386824,15,823.69686
2.578729,4,825.426359
19.137781,26,836.466686
16.720953,20,845.01872
13.363879,15,851.319806
3.241694,5,853.46487
38.844932,55,876.751132
8.689903,10,880.965163
14.662647,19,889.023348
10.702618,15,895.412932
13.280416,17,902.587521
12.141283,17,909.791592
27.000817,37,925.459151
32.628706,49,946.043978
53.01089,75,977.774318
6.26062,10,982.023399
22.423708,35,996.977005
55.615294,80,1031.167646
3.019248,4,1032.932665
2.637433,4,1034.641179
16.036867,21,1043.573278
20.999154,31,1056.61445
17.945642,24,1066.784164
17.679563,24,1076.995816
8.511273,14,1082.892347
5.758471,8,1086.27338
12.963521,16,1093.118941
6.186666,8,1096.531449
17.82149,26,1107.550224
11.078114,15,1113.994352
9.013088,16,1120.824913
20.145889,31,1133.975609
19.802937,32,1147.502164
11.562808,13,1153.085319
24.870455,38,1169.073972
5.3532,7,1172.086093
22.566872,29,1184.409754
