#{"t_start": 1688313508.410927, "env_id": "None"}
r,l,t
13.462284,17,83.108958
5.851343,9,85.075648
5.078793,7,86.511429
44.049069,64,99.793564
20.670348,33,106.705058
17.272027,25,111.87756
11.510116,13,114.605307
20.008808,30,120.977986
26.713984,39,129.156075
16.875545,25,134.42407
35.608282,52,145.319403
6.197049,9,147.307581
5.483647,8,149.471809
9.94481,16,153.120771
17.367255,25,158.607041
7.98168,13,161.372936
11.271122,17,165.088633
11.710006,18,169.038891
18.939556,26,174.694415
11.104294,15,178.103957
8.707683,13,181.036717
5.462481,7,182.559826
9.883303,14,185.476604
4.07467,5,186.568273
10.314462,14,189.687301
54.569415,80,206.741522
34.554834,46,216.59237
21.01111,30,222.950376
5.775849,8,224.781932
4.279673,6,226.136455
13.233582,20,230.497442
16.719353,28,236.73992
17.239621,25,242.556293
4.473211,6,244.191717
8.873296,13,247.428136
25.639409,30,255.072537
32.788596,53,267.542384
8.689856,14,270.791849
7.934627,11,273.394738
14.510685,20,278.045345
7.00521,10,280.371127
3.619548,6,281.77051
26.186492,42,291.51977
6.839068,9,293.620106
4.257793,6,294.974741
25.109085,31,302.145896
23.487779,29,308.930191
7.961995,11,311.461245
27.126734,38,320.487628
45.23498,65,335.480516
20.611593,31,343.020396
3.406062,5,344.20961
47.350559,65,359.973862
14.12137,17,363.996539
15.531919,21,369.017256
8.135767,10,371.354147
6.507557,9,373.534004
17.114249,21,378.600116
8.370569,11,381.289706
9.252042,12,384.189304
10.901532,14,387.561058
24.808572,30,394.796535
26.862713,44,405.374971
15.750791,20,410.00117
31.206669,45,420.583854
46.07166,65,435.595718
18.831774,25,441.384019
11.4044,14,444.63386
18.120165,28,451.296394
10.54774,17,455.157264
4.758754,6,456.597866
8.498346,13,459.576185
57.813273,80,478.120948
6.669289,10,480.388433
34.842754,52,492.161657
34.866459,52,504.089459
12.344943,16,507.769373
20.969266,31,514.846361
34.625893,47,525.777968
7.815001,11,528.376734
15.527802,24,533.895252
6.148925,9,536.007686
22.629968,29,542.944269
13.732819,20,570.428747
27.295051,37,579.487595
18.53535,29,586.561916
5.627033,9,588.680814
54.457692,80,607.890824
20.336199,30,615.199429
18.865644,28,621.947085
7.877568,12,624.865792
20.409732,31,632.454479
19.476095,28,639.213697
3.58997,6,640.727022
15.166837,27,647.590638
10.247509,15,651.186396
3.358831,5,652.408571
18.018481,28,659.071696
53.74512,80,678.152643
25.618584,33,686.216648
6.433264,9,688.420962
18.295405,26,694.715822
51.259542,80,713.929758
11.847881,18,718.262234
29.040394,40,727.853067
8.352294,14,731.243301
29.556326,50,743.181892
6.875902,10,745.557274
3.658592,5,746.81457
44.268669,69,763.279472
4.329142,6,764.72177
4.499328,6,766.193196
12.868699,21,771.13859
8.698515,13,774.330821
18.489128,25,780.581498
10.58766,13,783.749108
53.118651,80,803.475692
32.876979,50,815.562326
24.818752,36,824.286081
53.374494,80,843.653683
6.774507,10,846.1049
5.329665,8,848.055098
38.389191,60,862.411376
8.662377,12,865.371838
12.383117,18,869.763114
3.746151,6,871.177601
4.895985,7,872.891191
26.226744,41,882.918802
39.255707,58,897.03427
15.718354,20,901.85259
29.026396,46,912.887042
20.608607,32,920.67246
56.863112,80,940.098495
18.659649,28,946.773271
25.440116,41,956.649395
29.431569,44,967.210939
18.131131,26,973.379398
15.571571,23,978.916702
8.520455,14,982.294333
26.613883,37,991.142911
23.303381,33,999.062147
11.306604,15,1002.695299
17.851439,27,1009.223383
5.312802,7,1010.910904
51.879873,80,1030.328282
10.658639,13,1033.626569
4.742808,7,1035.353576
8.650257,13,1038.473396
8.092887,11,1041.134762
51.396745,80,1060.203249
13.56295,20,1088.983316
19.597164,30,1096.204306
49.496008,80,1115.430357
42.417964,61,1130.025595
4.859967,7,1131.758371
15.004835,19,1136.341591
42.173297,67,1152.39649
25.389092,41,1162.502033
24.189217,32,1170.319751
50.132891,80,1189.641212
16.4694,25,1195.693581
16.613109,25,1201.692162
34.227694,48,1213.449784
